,0
"(u'provid', u'wheel')",1
"(u'two', u'rail')",2
"(u'advanc', u'togeth')",1
"(u')', u'two')",3
"(u'support', u'bar')",6
"(u'shift', u'seat')",1
"(u'bathtub', u'.')",7
"(u'(', u')')",1
"(u'(', u'b')",1
"(u'provid', u'inner')",1
"(u'support', u'rail')",1
"(u'outer', u'bathtub')",1
"(u'posit', u'outer')",2
"(u'mean', u',')",1
"(u'20', u'.')",1
"(u'said', u'outer')",1
"(u'.', u'18')",1
"(u'wherein', u'moveabl')",1
"(u',', u'inner')",1
"(u'rail', u'said')",1
"(u'claim', u'8')",2
"(u'3', u'compris')",1
"(u'downwardli', u'rail')",6
"(u'claim', u'12')",1
"(u'center', u'region')",2
"(u'bathtub', u'invalid')",1
"(u'two', u'moveabl')",1
"(u'leg', u'extend')",1
"(u'1', u')')",1
"(u'.', u'11')",1
"(u')', u'support')",1
"(u'wherein', u'one')",1
"(u'bar', u',')",1
"(u'1', u'compris')",1
"(u'therebi', u'shift')",1
"(u'mean', u'may')",1
"(u'engag', u'inner')",6
"(u'leg', u'provid')",1
"(u'shift', u'posit')",1
"(u'wheel', u'provid')",1
"(u'17', u'.')",1
"(u'along', u'rail')",1
"(u'said', u'ledg')",1
"(u'provid', u'outer')",1
"(u',', u'therebi')",1
"(u'brace', u'mean')",12
"(u'rotat', u'support')",1
"(u'secur', u'rail')",6
"(u'posit', u'brace')",12
"(u'.', u'5')",1
"(u'.', u'A')",1
"(u'bar', u'seat')",1
"(u'may', u'actuat')",1
"(u'mean', u'.')",1
"(u'bathtub', u'whereat')",1
"(u'compris', u'linkag')",1
"(u'bar', u'elev')",1
"(u'extend', u'downwardli')",8
"(u'wall', u'bathtub')",6
"(u'seat-support', u'leg')",4
"(u'region', u'said')",1
"(u'bar', u'may')",1
"(u'bathtub', u'side')",2
"(u'seat', u',')",1
"(u'12', u'.')",1
"(u'shape', u'posit')",1
"(u'said', u'support')",1
"(u'bar', u'carri')",1
"(u'elev', u'hand')",1
"(u'claim', u'15')",1
"(u'.', u'An')",19
"(u'10', u'wherein')",1
"(u'bathtub', u'secur')",6
"(u'ledg', u'.')",2
"(u'linkag', u'extend')",1
"(u'invalid', u'seat')",1
"(u'upon', u'instal')",1
"(u'1', u'combin')",1
"(u'bar', u'inner')",1
"(u'said', u'bar')",1
"(u'lower', u'end')",1
"(u'ledg', u'wherein')",1
"(u'person', u'seat')",1
"(u'assembl', u'claim')",19
"(u'12', u'wherein')",1
"(u'bathtub', u';')",2
"(u'bear', u'shape')",1
"(u'.', u'8')",1
"(u'one', u'wheel')",1
"(u'extend', u'ledg')",1
"(u'posit', u'engag')",1
"(u'may', u'support')",1
