,0
oper,3
control,2
rotat,6
stream,8
wall,3
opposit,2
within,1
one,1
respect,2
hole,2
select,5
concentr,2
inlet,4
jet,16
commun,2
configur,7
",",10
.,24
attach,1
2,1
4,1
6,1
8,1
non-rotat,1
whirlpool,12
rel,2
lug,2
fluid,2
~~,1
Venturi,1
spin,1
11,1
10,1
12,1
recit,10
nozzl,19
hous,2
remov,6
stationari,3
cant,2
air,10
separ,1
adjust,2
mode,2
compris,9
water-hold,3
posit,1
mean,4
apertur,9
claim,10
articulat,3
engag,6
eyebal,4
respons,1
direct,7
second,2
manner,1
pass,1
orient,3
assembl,24
surfac,2
said,54
end,1
non-rot,1
divid,4
pattern,1
tube,9
wherein,4
1,6
mix,1
3,1
enclosur,5
5,1
7,6
impart,1
9,1
;,3
plural,3
circular,1
A,2
perimet,2
may,2
upon,3
gener,2
spot,1
water,10
spray,1
releas,1
The,10
torqu,1
convert,1
coupl,1
convers,1
angl,2
region,1
flow,6
face,8
amount,2
determin,1
rotari,19
first,2
