,0
"(u'substanti', u'enclos', u'hand')",1
"(u'hand', u'user', u'.')",1
"(u'water', u'resist', u'water')",4
"(u'.', u'10', u'.')",1
"(u'and/or', u'said', u'hand')",2
"(u'enabl', u'user', u'draw')",2
"(u'two', u'bodi', u'part')",3
"(u'arm', u'portion', u'provid')",1
"(u'attach', u'bodi', u'part')",3
"(u'commun', u',', u'attach')",1
"(u'main', u'bodi', u',')",2
"(u')', u'releas', u'attach')",1
"(u')', u'substanti', u'enclos')",2
"(u'anoth', u'said', u'bodi')",1
"(u'.', u'18', u'.')",1
"(u':', u')', u'main')",1
"(u'(', u')', u'releas')",1
"(u'releas', u'attach', u'bodi')",3
"(u'(', u')', u',')",2
"(u'.', u'16', u'.')",1
"(u'two', u'leg', u'portion')",1
"(u'17', u'.', u'A')",1
"(u',', u'b', u')')",1
"(u'bodi', u'releas', u'attach')",2
"(u'(', u')', u'around')",1
"(u'releas', u'attach', u'said')",1
"(u'.', u'7', u'.')",1
"(u'head', u'portion', u'.')",1
"(u'provid', u'drawstr', u'.')",1
"(u'attach', u'.', u'5')",1
"(u',', u'wherein', u'said')",6
"(u'10', u'.', u'A')",1
"(u'.', u'11', u'.')",1
"(u'portion', u'includ', u'head')",1
"(u'claim', u'1', u',')",8
"(u'fasten', u'locat', u'substanti')",1
"(u'leg', u'.', u'15')",1
"(u'said', u'feet', u'portion')",3
"(u'said', u'head', u'portion')",1
"(u'17', u'wherein', u'main')",1
"(u'substanti', u'along', u'middl')",1
"(u'(', u')', u'and/or')",2
"(u'wherein', u'provid', u'gusset')",1
"(u'wherein', u'said', u'least')",4
"(u'draw', u'said', u'least')",2
"(u'materi', u'.', u'13')",1
"(u'16', u'wherein', u'zip')",1
"(u'.', u'6', u'.')",1
"(u'14', u'wherein', u'said')",1
"(u'claim', u'claim', u'14')",1
"(u'claim', u'claim', u'9')",1
"(u'portion', u'provid', u'hand')",1
"(u'claim', u'9', u',')",1
"(u'2', u'.', u'A')",1
"(u'gusset', u'region', u'least')",1
"(u'may', u'draw', u'said')",1
"(u'claim', u'claim', u'16')",1
"(u'along', u'middl', u'front')",1
"(u'said', u'least', u'two')",2
"(u'user', u'draw', u'said')",1
"(u'provid', u'substanti', u'water')",2
