,0
"(u'1', u'upon')",1
"(u'assembl', u'compris')",3
"(u'whirlpool', u'jet')",12
"(u'flow', u'control')",2
"(u'3', u'.')",1
"(u'mean', u'adjust')",2
"(u'compris', u';')",1
"(u'7', u'.')",1
"(u'rotari', u'configur')",2
"(u'configur', u'concentr')",1
"(u'oper', u'coupl')",1
"(u'face', u'fluid')",1
"(u'stream', u'flow')",1
"(u'.', u'2')",1
"(u'first', u'second')",1
"(u'5', u'.')",1
"(u'configur', u'direct')",1
"(u'air', u'flow')",3
"(u'pattern', u',')",1
"(u'wall', u'water-hold')",1
"(u'compris', u'flow')",2
"(u'plural', u'lug')",2
"(u'stream', u'gener')",1
"(u'spin', u'said')",1
"(u'1', u'.')",1
"(u'8', u'.')",1
"(u'mix', u'water')",1
"(u'.', u'The')",10
"(u'articulat', u'upon')",1
