,0
"(u'engag', u'opposit')",2
"(u'face', u'compris')",1
"(u'nozzl', u'tube')",9
"(u'respons', u'water')",1
"(u'apertur', u'.')",3
"(u'non-rot', u'nozzl')",1
"(u'mean', u'engag')",2
"(u'.', u'A')",2
"(u'within', u'said')",1
"(u'nozzl', u'oper')",2
"(u'face', u',')",1
"(u'A', u'whirlpool')",2
"(u'Venturi', u'hous')",1
"(u'said', u'hous')",1
"(u'rotat', u'spin')",1
"(u'impart', u'rotat')",1
"(u';', u'non-rotat')",1
"(u'eyebal', u'may')",2
"(u'11', u'.')",1
"(u'said', u'apertur')",1
"(u';', u'rotari')",1
"(u'flow', u'respect')",1
"(u'surfac', u'water-hold')",2
"(u'1', u'compris')",2
"(u'articulat', u'direct')",1
"(u'eyebal', u'posit')",1
"(u'respect', u'one')",1
"(u'The', u'jet')",4
"(u'claim', u'1')",5
"(u'select', u'spot')",1
"(u'select', u'convert')",1
"(u'end', u'said')",1
"(u'direct', u'said')",1
"(u'.', u'5')",1
"(u'face', u'said')",2
"(u'hole', u'said')",2
"(u'divid', u'divid')",2
"(u'rotari', u'mode')",1
"(u'manner', u'select')",1
"(u'inlet', u'air')",1
"(u'9', u'.')",1
"(u'rotat', u'torqu')",1
"(u'upon', u'remov')",3
"(u'assembl', u'said')",2
"(u'tube', u'plural')",1
"(u'convers', u'said')",1
"(u'tube', u'.')",3
"(u'configur', u'remov')",2
"(u'12', u'.')",1
"(u'assembl', u'rotari')",2
"(u'configur', u'oper')",1
"(u'may', u'orient')",2
"(u'1', u'wherein')",2
"(u'said', u'rotari')",14
"(u'configur', u',')",1
"(u'stationari', u'mode')",1
"(u'.', u'7')",1
"(u'stationari', u'configur')",2
"(u'divid', u'said')",2
"(u'nozzl', u'plural')",1
"(u'wall', u'apertur')",2
"(u'jet', u'assembl')",16
"(u'non-rotat', u'nozzl')",1
"(u'The', u'whirlpool')",6
"(u'said', u'cant')",1
"(u'second', u'configur')",2
"(u'enclosur', u'perimet')",2
"(u'control', u'mean')",2
"(u'orient', u'said')",1
"(u'rotari', u'face')",8
"(u'compris', u'mean')",2
"(u'inlet', u'said')",1
"(u'water-hold', u'enclosur')",3
"(u'adjust', u'amount')",2
"(u'articulat', u'non-rot')",1
"(u',', u'said')",8
"(u'spot', u',')",1
"(u'tube', u'eyebal')",1
"(u'inlet', u'direct')",1
"(u'said', u'first')",1
"(u'6', u'.')",1
"(u'rotat', u'apertur')",3
"(u'assembl', u'recit')",10
"(u'releas', u'manner')",1
"(u'nozzl', u'rotat')",1
"(u'engag', u'said')",3
"(u'rel', u'said')",2
"(u'oper', u'said')",2
"(u'gener', u'stream')",1
"(u'orient', u'select')",2
"(u'.', u'12')",1
"(u'separ', u'stream')",1
"(u'engag', u'end')",1
"(u'concentr', u'within')",1
"(u'said', u'eyebal')",3
"(u'perimet', u'hole')",2
"(u'remov', u'said')",5
"(u'~~', u'1')",1
"(u'apertur', u'pass')",1
"(u'direct', u'determin')",1
"(u'direct', u'stream')",2
"(u'4', u'.')",1
"(u'said', u'direct')",1
"(u'nozzl', u'remov')",1
"(u'apertur', u'direct')",2
"(u'configur', u'compris')",1
"(u'coupl', u'said')",1
"(u'nozzl', u'articulat')",2
"(u'assembl', u'engag')",1
"(u',', u'rotari')",1
"(u'.', u'3')",1
"(u'assembl', u'select')",1
"(u'remov', u'rotari')",1
"(u'said', u'rotat')",1
"(u'flow', u'said')",3
"(u'said', u'air')",1
"(u'lug', u'engag')",2
"(u'said', u'stream')",4
"(u'opposit', u'surfac')",2
"(u'wherein', u'said')",4
"(u'enclosur', u';')",1
"(u'hous', u'fluid')",1
"(u'assembl', u'direct')",1
"(u'air', u'circular')",1
"(u'rotari', u'assembl')",8
"(u'select', u'angl')",2
"(u'stream', u'said')",1
"(u'2', u'.')",1
"(u'face', u'.')",1
"(u'fluid', u'commun')",2
"(u'said', u'water')",1
"(u'tube', u'said')",3
"(u'plural', u'cant')",1
"(u'gener', u'rotat')",1
"(u'tube', u'releas')",1
"(u'one', u'said')",1
"(u'.', u'4')",1
"(u'assembl', u',')",2
"(u'assembl', u'spray')",1
"(u'pass', u'said')",1
"(u'apertur', u'respons')",1
"(u'determin', u'orient')",1
"(u'.', u'8')",1
"(u'region', u',')",1
"(u'apertur', u'impart')",1
"(u'rotat', u'said')",1
"(u'commun', u'said')",2
"(u'inlet', u'gener')",1
"(u'circular', u'pattern')",1
"(u'7', u'wherein')",2
"(u'amount', u'water')",2
"(u'air', u'region')",1
"(u'select', u'convers')",1
"(u'face', u'attach')",1
"(u'apertur', u'wall')",1
"(u'mode', u',')",2
"(u',', u'nozzl')",1
"(u'10', u'.')",1
"(u'.', u'6')",1
"(u'assembl', u'.')",1
"(u'nozzl', u'.')",2
"(u'attach', u'said')",1
"(u'stream', u'water')",3
"(u'said', u'whirlpool')",4
"(u'concentr', u'engag')",1
"(u'nozzl', u',')",1
"(u'compris', u'plural')",1
"(u'stream', u'mix')",1
"(u'face', u'rotat')",1
"(u'.', u'11')",1
"(u'said', u'enclosur')",2
"(u'cant', u'apertur')",2
"(u'direct', u'stationari')",3
"(u'compris', u'articulat')",1
"(u'water', u'inlet')",2
"(u'first', u'configur')",1
"(u'convert', u'first')",1
"(u'respect', u'rotat')",1
"(u'air', u'select')",1
"(u'air', u'apertur')",1
"(u'.', u'10')",1
"(u'said', u'wall')",2
"(u'enclosur', u'.')",2
"(u'said', u'second')",1
"(u'7', u'compris')",2
"(u'water', u'air')",8
"(u'claim', u'7')",5
"(u'torqu', u'said')",1
"(u'air', u'inlet')",2
"(u'recit', u'claim')",10
"(u'posit', u'concentr')",1
"(u'.', u'9')",1
"(u';', u'Venturi')",1
"(u'angl', u'rel')",2
"(u'spray', u'water')",1
"(u'stream', u'respect')",1
"(u'hous', u'water')",1
"(u'said', u'nozzl')",16
"(u'7', u'upon')",1
"(u'compris', u'divid')",2
"(u'eyebal', u';')",1
"(u'air', u'separ')",1
