,0
"(u'12', u'.')",1
"(u'roller', u'.')",6
"(u'claim', u'8')",4
"(u'due', u'friction')",2
"(u'.', u'A')",3
"(u'wherein', u'first')",2
"(u'scrub', u'edg')",1
"(u'faster', u'rotat')",1
"(u'wafer', u';')",1
"(u'apparatu', u'defin')",13
"(u'11', u'.')",1
"(u'contact', u'semiconductor')",3
"(u'20', u'.')",1
"(u'area', u'due')",1
"(u'wafer', u'first')",4
"(u'claim', u'20')",4
"(u'.', u'19')",1
"(u'veloc', u'point')",2
"(u'roller', u'clear')",1
"(u'substrat', u'includ')",1
"(u'.', u'27')",1
"(u'side', u'scrub')",2
"(u'materi', u'compris')",11
"(u'17', u'.')",1
"(u'wherein', u'roller')",1
"(u'roller', u',')",1
"(u'materi', u'first')",1
"(u'clean', u'mechan')",1
"(u'.', u'29')",1
"(u'clean', u'due')",3
"(u'compris', u'pad')",2
"(u'.', u'5')",1
"(u'29', u'wherein')",2
"(u'28', u'.')",1
"(u'25', u'.')",1
"(u'point', u'contact')",4
"(u'least', u'one')",5
"(u'.', u'16')",1
"(u'substrat', u'.')",2
"(u'30', u'.')",1
"(u'direct', u'first')",3
"(u'23', u'.')",1
"(u'speed', u'first')",1
"(u'NH', u'4')",1
"(u'mechan', u'compris')",1
"(u'wherein', u'mechan')",2
"(u'.', u'24')",1
"(u'roller', u'compris')",4
"(u'claim', u'18')",7
"(u'1', u'wherein')",4
"(u'bevel', u'area')",4
"(u'13', u'wherein')",4
"(u'said', u'apparatu')",1
"(u'5', u'wherein')",1
"(u';', u'second')",2
"(u'includ', u'least')",1
"(u'semiconductor', u'wafer')",14
"(u'.', u'7')",1
"(u'time', u'first')",1
"(u'.', u'8')",1
"(u'nylon', u'.')",3
"(u'rotat', u'direct')",5
"(u'edg', u',')",3
"(u'roller', u'configur')",4
"(u'The', u'scrubber')",15
"(u'roller', u'approxim')",1
"(u'polyurethan', u'.')",3
"(u'vinyl', u'alcohol')",3
"(u'tangenti', u'veloc')",3
"(u'scrub', u'apparatu')",1
"(u'substrat', u'edg')",2
"(u'OH', u'.')",1
