,0
1.5,2
rotat,12
point,4
approxim,2
friction,3
one,5
area,5
speed,15
poli,3
edg,16
24,1
25,1
26,1
27,1
20,5
21,1
22,1
23,1
(,3
configur,4
28,1
",",8
least,5
.,62
PVA,3
2,3
4,4
6,1
8,5
:,3
includ,1
11,1
10,1
substrat,7
mechan,3
facilit,2
~~,1
tangenti,3
faster,2
abras,17
bevel,4
13,5
12,1
15,1
14,1
17,1
OH,1
scrubber,17
18,8
16,1
19,1
compris,23
side,2
claim,28
materi,17
propel,3
pad,2
direct,5
second,16
particl,2
said,4
alcohol,3
29,3
defin,28
),3
polyurethan,3
wherein,26
semiconductor,21
3,1
contact,6
5,2
7,1
9,1
chemic,3
;,2
A,3
NH,1
clear,1
scrub,5
gener,1
differ,4
O,1
water,4
vinyl,3
The,28
NH4OH/H,1
roller,26
jet,3
wafer,14
veloc,3
30,1
1,5
31,1
due,4
clean,12
time,2
nylon,3
apparatu,15
first,20
"(u'12', u'.')",1
"(u'roller', u'.')",6
"(u'claim', u'8')",4
"(u'due', u'friction')",2
"(u'.', u'A')",3
"(u'wherein', u'first')",2
"(u'scrub', u'edg')",1
"(u'faster', u'rotat')",1
"(u'wafer', u';')",1
"(u'apparatu', u'defin')",13
"(u'11', u'.')",1
"(u'contact', u'semiconductor')",3
"(u'20', u'.')",1
"(u'area', u'due')",1
"(u'wafer', u'first')",4
"(u'claim', u'20')",4
"(u'.', u'19')",1
"(u'veloc', u'point')",2
"(u'roller', u'clear')",1
"(u'substrat', u'includ')",1
"(u'.', u'27')",1
"(u'side', u'scrub')",2
"(u'materi', u'compris')",11
"(u'17', u'.')",1
"(u'wherein', u'roller')",1
"(u'roller', u',')",1
"(u'materi', u'first')",1
"(u'clean', u'mechan')",1
"(u'.', u'29')",1
"(u'clean', u'due')",3
"(u'compris', u'pad')",2
"(u'.', u'5')",1
"(u'29', u'wherein')",2
"(u'28', u'.')",1
"(u'25', u'.')",1
"(u'point', u'contact')",4
"(u'least', u'one')",5
"(u'.', u'16')",1
"(u'substrat', u'.')",2
"(u'30', u'.')",1
"(u'direct', u'first')",3
"(u'23', u'.')",1
"(u'speed', u'first')",1
"(u'NH', u'4')",1
"(u'mechan', u'compris')",1
"(u'wherein', u'mechan')",2
"(u'.', u'24')",1
"(u'roller', u'compris')",4
"(u'claim', u'18')",7
"(u'1', u'wherein')",4
"(u'bevel', u'area')",4
"(u'13', u'wherein')",4
"(u'said', u'apparatu')",1
"(u'5', u'wherein')",1
"(u';', u'second')",2
"(u'includ', u'least')",1
"(u'semiconductor', u'wafer')",14
"(u'.', u'7')",1
"(u'time', u'first')",1
"(u'.', u'8')",1
"(u'nylon', u'.')",3
"(u'rotat', u'direct')",5
"(u'edg', u',')",3
"(u'roller', u'configur')",4
"(u'The', u'scrubber')",15
"(u'roller', u'approxim')",1
"(u'polyurethan', u'.')",3
"(u'vinyl', u'alcohol')",3
"(u'tangenti', u'veloc')",3
"(u'scrub', u'apparatu')",1
"(u'substrat', u'edg')",2
"(u'OH', u'.')",1
"(u'friction', u'edg')",2
"(u',', u'said')",1
"(u'claim', u'29')",2
"(u'20', u'wherein')",4
"(u'defin', u'claim')",28
"(u'6', u'.')",1
"(u'direct', u'second')",2
"(u',', u'first')",2
"(u'compris', u'NH4OH/H')",1
"(u'speed', u'contact')",1
"(u'first', u'speed')",6
"(u'27', u'.')",1
"(u'wherein', u'clean')",1
"(u'time', u'rotat')",1
"(u'due', u'differ')",2
"(u'substrat', u'first')",1
"(u'.', u'12')",1
"(u'8', u'wherein')",4
"(u'compris', u'water')",2
"(u'.', u'31')",1
"(u'(', u'PVA')",3
"(u'roller', u'gener')",1
"(u'area', u'semiconductor')",2
"(u'second', u'speed')",5
"(u'compris', u'jet')",1
"(u'compris', u'abras')",4
"(u'said', u'least')",3
"(u'.', u'28')",1
"(u'particl', u'bevel')",2
"(u'4', u'.')",1
"(u'24', u'.')",1
"(u'1.5', u'time')",2
"(u'wherein', u'edg')",1
"(u'contact', u'side')",2
"(u'chemic', u'point')",1
"(u'.', u'17')",1
"(u'14', u'.')",1
"(u'facilit', u'edg')",2
"(u'roller', u'rotat')",5
"(u'13', u'.')",1
"(u'speed', u';')",1
"(u'propel', u'least')",1
"(u'22', u'.')",1
"(u'clean', u'said')",1
"(u'area', u',')",1
"(u'edg', u'abras')",2
"(u'26', u'.')",1
"(u'.', u'11')",1
"(u'claim', u'1')",4
"(u'18', u'compris')",2
"(u'9', u'.')",1
"(u'2', u'.')",2
"(u',', u'second')",2
"(u'mechan', u'edg')",2
"(u'.', u'14')",1
"(u'wherein', u'said')",2
"(u'water', u'jet')",2
"(u'poli', u'vinyl')",3
"(u'jet', u'propel')",3
"(u'NH4OH/H', u'2')",1
"(u'.', u'4')",1
"(u'~~', u'1')",1
"(u'speed', u'facilit')",2
"(u'area', u'contact')",1
"(u'.', u'22')",1
"(u'gener', u'friction')",1
"(u'differ', u'tangenti')",3
"(u'first', u'roller')",14
"(u'A', u'scrubber')",2
"(u'chemic', u'compris')",2
"(u'propel', u'water')",2
"(u'wafer', u'edg')",2
"(u'speed', u'faster')",2
"(u'wherein', u'rotat')",1
"(u'clear', u'edg')",1
"(u'faster', u'first')",1
"(u'edg', u'semiconductor')",5
"(u'configur', u'rotat')",4
"(u'speed', u'approxim')",1
"(u'apparatu', u'compris')",1
"(u',', u'edg')",1
"(u'materi', u'.')",5
"(u'semiconductor', u'substrat')",7
"(u'abras', u'materi')",17
"(u'approxim', u'1.5')",2
"(u'The', u'apparatu')",13
"(u':', u'first')",3
"(u'second', u'roller')",11
"(u'water', u'point')",1
"(u'clean', u'particl')",2
"(u'claim', u'4')",2
"(u'4', u'wherein')",2
"(u'10', u'.')",1
"(u'.', u'6')",1
"(u'.', u'13')",1
"(u'18', u'.')",1
"(u'wherein', u'semiconductor')",1
"(u'15', u'.')",1
"(u'claim', u'13')",4
"(u'clean', u'semiconductor')",4
"(u'compris', u'polyurethan')",3
"(u'O', u'2')",1
"(u'compris', u'poli')",3
"(u'edg', u'clean')",6
"(u')', u'.')",3
"(u'wafer', u'clean')",2
"(u'.', u'21')",1
"(u'substrat', u'second')",1
"(u'claim', u'5')",1
"(u'.', u'23')",1
"(u'31', u'.')",1
"(u'speed', u'second')",4
"(u'2', u'O')",1
"(u'4', u'OH')",1
"(u'.', u'10')",1
"(u'21', u'.')",1
"(u'speed', u'differ')",1
"(u'roller', u'clean')",2
"(u'compris', u'NH')",1
"(u'scrubber', u'scrub')",2
"(u'.', u'9')",1
"(u'rotat', u'semiconductor')",3
"(u'.', u'26')",1
"(u'compris', u'nylon')",3
"(u'roller', u'second')",1
"(u'PVA', u')')",3
"(u'wherein', u'abras')",11
"(u'one', u'bevel')",2
"(u'differ', u'first')",1
"(u'A', u'scrub')",1
"(u'.', u'15')",1
"(u'friction', u'differ')",1
"(u'wafer', u'.')",2
"(u'water', u'area')",1
"(u',', u'compris')",2
"(u'alcohol', u'(')",3
"(u'.', u'3')",1
"(u'3', u'.')",1
"(u'29', u'.')",1
"(u'7', u'.')",1
"(u'apparatu', u'clean')",1
"(u'clean', u'edg')",1
"(u'.', u'25')",1
"(u'speed', u'.')",2
"(u'.', u'30')",1
"(u'wherein', u'second')",4
"(u'.', u'18')",1
"(u'scrubber', u'defin')",15
"(u'.', u'2')",1
"(u'rotat', u'speed')",4
"(u'contact', u'edg')",1
"(u'pad', u'.')",2
"(u'16', u'.')",1
"(u'veloc', u'.')",1
"(u'18', u'wherein')",5
"(u'compris', u':')",3
"(u'one', u'chemic')",3
"(u'scrub', u'semiconductor')",3
"(u'19', u'.')",1
"(u'1', u'.')",1
"(u'8', u'.')",1
"(u'.', u'20')",1
"(u'wafer', u',')",3
"(u'5', u'.')",1
"(u'.', u'The')",28
"(u',', u'edg', u'semiconductor')",1
