,0
"(u';', u'non-rotat', u'nozzl')",1
"(u'gener', u'rotat', u'spin')",1
"(u'configur', u'direct', u'stationari')",1
"(u'rotat', u'said', u'rotat')",1
"(u'orient', u'said', u'eyebal')",1
"(u'face', u',', u'said')",1
"(u'face', u'rotat', u'apertur')",1
"(u'whirlpool', u'jet', u'assembl')",12
"(u'end', u'said', u'nozzl')",1
"(u'wall', u'apertur', u'.')",2
"(u'hole', u'said', u'enclosur')",2
"(u'lug', u'engag', u'said')",1
"(u'said', u'stream', u'gener')",1
"(u'face', u'said', u'first')",1
"(u'eyebal', u'posit', u'concentr')",1
"(u'.', u'The', u'jet')",4
"(u'said', u'apertur', u'direct')",1
"(u'compris', u'plural', u'lug')",1
"(u'gener', u'stream', u'mix')",1
"(u'engag', u'said', u'nozzl')",3
"(u'concentr', u'within', u'said')",1
"(u'configur', u'remov', u'said')",2
"(u'rotari', u'face', u'rotat')",1
"(u'enclosur', u'perimet', u'hole')",2
"(u'said', u'wall', u'apertur')",2
"(u'stationari', u'configur', u',')",1
"(u'nozzl', u'remov', u'rotari')",1
"(u'remov', u'said', u'rotari')",3
"(u'.', u'4', u'.')",1
"(u'rotari', u'face', u'compris')",1
"(u'oper', u'coupl', u'said')",1
"(u'said', u'rotat', u'apertur')",1
"(u'assembl', u',', u'said')",2
"(u'11', u'.', u'The')",1
"(u'angl', u'rel', u'said')",2
"(u'manner', u'select', u'convers')",1
"(u'fluid', u'commun', u'said')",2
"(u'apertur', u'direct', u'stream')",1
"(u'1', u'upon', u'remov')",1
"(u'opposit', u'surfac', u'water-hold')",2
"(u'plural', u'cant', u'apertur')",1
"(u'select', u'convers', u'said')",1
"(u'convers', u'said', u'whirlpool')",1
"(u'apertur', u'.', u'6')",1
"(u'compris', u'mean', u'engag')",2
"(u'plural', u'lug', u'engag')",2
"(u'flow', u'control', u'mean')",2
"(u'rotari', u'face', u',')",1
"(u'nozzl', u'tube', u'eyebal')",1
"(u'said', u'nozzl', u'tube')",8
"(u'assembl', u'recit', u'claim')",10
"(u'articulat', u'non-rot', u'nozzl')",1
"(u'said', u'air', u'inlet')",1
"(u'said', u'first', u'configur')",1
"(u',', u'said', u'nozzl')",3
"(u'pass', u'said', u'stream')",1
"(u'impart', u'rotat', u'torqu')",1
"(u'nozzl', u',', u'said')",1
"(u'eyebal', u'may', u'orient')",2
"(u'air', u'region', u',')",1
"(u'engag', u'end', u'said')",1
"(u'direct', u'stationari', u'mode')",1
"(u'assembl', u'rotari', u'configur')",1
"(u'7', u'compris', u'mean')",1
"(u'flow', u'said', u'nozzl')",3
"(u'separ', u'stream', u'flow')",1
"(u'.', u'The', u'whirlpool')",6
"(u'assembl', u'spray', u'water')",1
"(u'rotari', u'configur', u'direct')",1
"(u'claim', u'1', u'compris')",2
"(u'assembl', u'compris', u'plural')",1
"(u'said', u'hous', u'fluid')",1
"(u'~~', u'1', u'.')",1
"(u'oper', u'said', u'whirlpool')",2
"(u'spray', u'water', u'air')",1
"(u'nozzl', u'oper', u'said')",2
"(u'torqu', u'said', u'rotari')",1
"(u'water-hold', u'enclosur', u'perimet')",2
"(u'flow', u'respect', u'rotat')",1
"(u'said', u'eyebal', u';')",1
"(u'inlet', u'direct', u'said')",1
"(u'enclosur', u'.', u'12')",1
"(u'upon', u'remov', u'said')",3
"(u'articulat', u'direct', u'stream')",1
"(u'tube', u'eyebal', u'posit')",1
"(u'said', u'nozzl', u'oper')",2
"(u'stationari', u'mode', u',')",1
"(u'stream', u'gener', u'rotat')",1
"(u'respons', u'water', u'air')",1
"(u'select', u'spot', u',')",1
"(u'commun', u'said', u'nozzl')",1
"(u'amount', u'water', u'air')",2
"(u'claim', u'7', u'compris')",2
"(u'air', u'circular', u'pattern')",1
"(u'assembl', u'compris', u';')",1
"(u'assembl', u'select', u'convert')",1
"(u'determin', u'orient', u'said')",1
"(u'attach', u'said', u'nozzl')",1
"(u'cant', u'apertur', u'.')",1
"(u'hous', u'water', u'inlet')",1
"(u'nozzl', u'tube', u'.')",3
"(u'nozzl', u'plural', u'lug')",1
"(u'said', u'nozzl', u'articulat')",1
"(u'inlet', u'said', u'air')",1
"(u'nozzl', u'tube', u'plural')",1
"(u'tube', u'.', u'3')",1
"(u'rotat', u'apertur', u'respons')",1
"(u'convert', u'first', u'second')",1
"(u'9', u'.', u'The')",1
"(u'said', u'whirlpool', u'jet')",4
"(u'eyebal', u';', u'rotari')",1
"(u'nozzl', u'articulat', u'direct')",1
"(u'configur', u',', u'said')",1
"(u'mean', u'adjust', u'amount')",2
"(u'air', u'inlet', u'gener')",1
"(u'rotari', u'configur', u'concentr')",1
"(u';', u'rotari', u'assembl')",1
"(u'articulat', u'upon', u'remov')",1
"(u'jet', u'assembl', u'.')",1
"(u'stream', u'respect', u'one')",1
"(u'said', u'nozzl', u',')",1
"(u'perimet', u'hole', u'said')",2
"(u'.', u'5', u'.')",1
"(u'control', u'mean', u'adjust')",2
"(u'spot', u',', u'rotari')",1
"(u'cant', u'apertur', u'pass')",1
"(u'1', u'compris', u'mean')",1
"(u'jet', u'assembl', u'compris')",1
"(u'mean', u'engag', u'opposit')",2
"(u'rotari', u'face', u'.')",1
"(u'tube', u'said', u'apertur')",1
"(u'said', u'rotari', u'assembl')",7
"(u'mode', u',', u'said')",1
"(u'jet', u'assembl', u'select')",1
"(u'coupl', u'said', u'nozzl')",1
"(u'face', u'compris', u'divid')",1
"(u'air', u'apertur', u'wall')",1
"(u'.', u'6', u'.')",1
"(u'.', u'11', u'.')",1
"(u'.', u'A', u'whirlpool')",2
"(u'commun', u'said', u'water')",1
"(u'compris', u';', u'Venturi')",1
