,0
rotat,1
wall,12
rest,1
one,1
held,1
shape,1
instal,1
wash,1
tub,2
locat,2
use,6
outer,9
fit,1
width,7
(,4
support,12
proxim,2
",",8
.,40
carri,1
adjac,1
2,4
seat-support,4
6,2
8,3
:,2
4,2
bear,3
15,2
remot,1
b,1
togeth,1
therebi,1
span,1
11,1
10,2
13,1
12,2
bar,10
14,2
17,2
16,1
provid,6
18,1
mount,7
displac,6
spacer,1
shower,1
19,2
slide,6
adjust,1
sidewal,1
compris,17
posit,18
bathtub,31
side,7
mean,21
dimens,1
claim,19
engag,13
~~,1
elev,1
seat,11
linkag,1
brake,3
connect,1
substanti,1
upwardli,1
An,19
tubular,6
assembl,20
rail-support,4
said,18
end,5
insid,6
floor,3
),4
leg,6
whereat,1
invalid,1
wherein,13
1,7
also,1
3,2
5,1
7,1
9,2
moveabl,2
;,2
wheel,2
brace,18
across,6
wherebi,3
A,1
ledg,5
extend,10
advanc,9
may,5
rail,20
upon,1
surfac,6
downwardli,8
extens,1
two,4
20,1
along,1
hand,1
roller,1
lower,1
center,2
shift,2
region,2
secur,6
inner,22
person,2
contact,1
combin,1
includ,1
outsid,1
permit,1
axi,1
actuat,1
"(u'provid', u'wheel')",1
"(u'two', u'rail')",2
"(u'advanc', u'togeth')",1
"(u')', u'two')",3
"(u'support', u'bar')",6
"(u'shift', u'seat')",1
"(u'bathtub', u'.')",7
"(u'(', u')')",1
"(u'(', u'b')",1
"(u'provid', u'inner')",1
"(u'support', u'rail')",1
"(u'outer', u'bathtub')",1
"(u'posit', u'outer')",2
"(u'mean', u',')",1
"(u'20', u'.')",1
"(u'said', u'outer')",1
"(u'.', u'18')",1
"(u'wherein', u'moveabl')",1
"(u',', u'inner')",1
"(u'rail', u'said')",1
"(u'claim', u'8')",2
"(u'3', u'compris')",1
"(u'downwardli', u'rail')",6
"(u'claim', u'12')",1
"(u'center', u'region')",2
"(u'bathtub', u'invalid')",1
"(u'two', u'moveabl')",1
"(u'leg', u'extend')",1
"(u'1', u')')",1
"(u'.', u'11')",1
"(u')', u'support')",1
"(u'wherein', u'one')",1
"(u'bar', u',')",1
"(u'1', u'compris')",1
"(u'therebi', u'shift')",1
"(u'mean', u'may')",1
"(u'engag', u'inner')",6
"(u'leg', u'provid')",1
"(u'shift', u'posit')",1
"(u'wheel', u'provid')",1
"(u'17', u'.')",1
"(u'along', u'rail')",1
"(u'said', u'ledg')",1
"(u'provid', u'outer')",1
"(u',', u'therebi')",1
"(u'brace', u'mean')",12
"(u'rotat', u'support')",1
"(u'secur', u'rail')",6
"(u'posit', u'brace')",12
"(u'.', u'5')",1
"(u'.', u'A')",1
"(u'bar', u'seat')",1
"(u'may', u'actuat')",1
"(u'mean', u'.')",1
"(u'bathtub', u'whereat')",1
"(u'compris', u'linkag')",1
"(u'bar', u'elev')",1
"(u'extend', u'downwardli')",8
"(u'wall', u'bathtub')",6
"(u'seat-support', u'leg')",4
"(u'region', u'said')",1
"(u'bar', u'may')",1
"(u'bathtub', u'side')",2
"(u'seat', u',')",1
"(u'12', u'.')",1
"(u'shape', u'posit')",1
"(u'said', u'support')",1
"(u'bar', u'carri')",1
"(u'elev', u'hand')",1
"(u'claim', u'15')",1
"(u'.', u'An')",19
"(u'10', u'wherein')",1
"(u'bathtub', u'secur')",6
"(u'ledg', u'.')",2
"(u'linkag', u'extend')",1
"(u'invalid', u'seat')",1
"(u'upon', u'instal')",1
"(u'1', u'combin')",1
"(u'bar', u'inner')",1
"(u'said', u'bar')",1
"(u'lower', u'end')",1
"(u'ledg', u'wherein')",1
"(u'person', u'seat')",1
"(u'assembl', u'claim')",19
"(u'12', u'wherein')",1
"(u'bathtub', u';')",2
"(u'bear', u'shape')",1
"(u'.', u'8')",1
"(u'one', u'wheel')",1
"(u'extend', u'ledg')",1
"(u'posit', u'engag')",1
"(u'may', u'support')",1
"(u'2', u'wherein')",1
"(u'bathtub', u'proxim')",1
"(u'axi', u'rotat')",1
"(u'may', u'held')",1
"(u'moveabl', u'seat-support')",2
"(u'mean', u'wherebi')",1
"(u'wall', u'engag')",6
"(u'seat', u'.')",1
"(u'compris', u'posit')",6
"(u'.', u'9')",1
"(u'adjust', u'spacer')",1
"(u'.', u'14')",1
"(u'actuat', u'person')",1
"(u'rail', u'dimens')",1
"(u'outsid', u'bathtub')",1
"(u'locat', u'wherein')",1
"(u'compris', u'tub')",1
"(u'An', u'assembl')",19
"(u'extens', u'mean')",1
"(u'engag', u'insid')",6
"(u'claim', u'2')",2
"(u'6', u'.')",1
"(u'end', u'said')",2
"(u'side', u'said')",2
"(u'use', u'.')",6
"(u'roller', u'locat')",1
"(u'wash', u'shower')",1
"(u'said', u'bathtub')",4
"(u'permit', u'outer')",1
"(u'said', u'posit')",6
"(u'9', u'.')",1
"(u'9', u'compris')",1
"(u'togeth', u'along')",1
"(u'1', u'wherein')",3
"(u'connect', u':')",1
"(u'.', u'12')",1
"(u',', u'bar')",1
"(u'tubular', u'brace')",6
"(u'claim', u'9')",1
"(u'adjac', u'outer')",1
"(u'claim', u'3')",1
"(u'instal', u',')",1
"(u'14', u'.')",1
"(u'compris', u'leg')",1
"(u'advanc', u'support')",1
"(u'proxim', u'inner')",1
"(u'floor', u'outsid')",1
"(u'width', u'bathtub')",6
"(u'~~', u'1')",1
"(u'substanti', u'inner')",1
"(u'side', u'bathtub')",2
"(u'rail', u'wherebi')",1
"(u'rail', u'engag')",6
"(u'tub', u'inner')",1
"(u'4', u'.')",1
"(u'assembl', u'includ')",1
"(u'11', u'.')",1
"(u'claim', u'14')",1
"(u'provid', u'ledg')",1
"(u',', u'said')",1
"(u'inner', u'locat')",1
"(u'seat', u'mount')",1
"(u'.', u'17')",1
"(u'outer', u'rail')",1
"(u'19', u'wherein')",1
"(u'.', u'3')",1
"(u'13', u'.')",1
"(u'remot', u'bathtub')",1
"(u'(', u'2')",1
"(u'bathtub', u'said')",1
"(u'said', u'bear')",1
"(u'support', u'mean')",1
"(u',', u'upon')",1
"(u'includ', u'seat')",1
"(u'2', u'compris')",1
"(u'rail', u',')",1
"(u'wherein', u'said')",7
"(u'claim', u'1')",5
"(u'seat', u'assembl')",1
"(u'.', u'7')",1
"(u'wherein', u'support')",1
"(u'upwardli', u'brake')",1
"(u'compris', u'adjust')",1
"(u'2', u'.')",1
"(u'claim', u'19')",1
"(u'.', u'19')",1
"(u'dimens', u'span')",1
"(u'compris', u'tubular')",6
"(u':', u'(')",2
"(u'17', u'wherein')",1
"(u'rail', u'provid')",1
"(u'rail', u'bathtub')",1
"(u'claim', u'6')",1
"(u'bear', u'roller')",1
"(u'sidewal', u'provid')",1
"(u'wheel', u'lower')",1
"(u'support', u'leg')",1
"(u'region', u'bathtub')",1
"(u'claim', u'17')",1
"(u'advanc', u'across')",6
"(u'ledg', u'wherebi')",1
"(u'mean', u'extend')",7
"(u'combin', u'tub')",1
"(u'.', u'10')",1
"(u'rail-support', u'mean')",4
"(u'brace', u'mount')",6
"(u'15', u'.')",1
"(u'said', u'seat-support')",1
"(u'extend', u'upwardli')",1
"(u'(', u'1')",1
"(u'support', u'bear')",2
"(u',', u'provid')",1
"(u'tub', u'ledg')",1
"(u'wherebi', u'rail')",1
"(u'provid', u'brake')",1
"(u'claim', u'10')",1
"(u'mean', u'support')",1
"(u'floor', u'.')",1
"(u'outer', u'side')",4
"(u'proxim', u'floor')",1
"(u'4', u'wherein')",1
"(u'10', u'.')",1
"(u'.', u'6')",1
"(u'.', u'13')",1
"(u'inner', u'bathtub')",1
"(u'locat', u'provid')",1
"(u'mount', u'slide')",6
"(u'rail', u'displac')",6
"(u'posit', u'center')",2
"(u'bear', u'fit')",1
"(u'b', u')')",1
"(u'shower', u'compris')",1
"(u'bar', u'seat-support')",1
"(u'rail', u'support')",1
"(u'provid', u'axi')",1
"(u'leg', u'may')",1
"(u'14', u'compris')",1
"(u'2', u')')",1
"(u'across', u'width')",6
"(u'wherebi', u'brake')",1
"(u'fit', u'support')",1
"(u'seat', u'posit')",2
"(u',', u'posit')",1
"(u'bathtub', u'inner')",7
"(u'bathtub', u'posit')",1
"(u'advanc', u',')",1
"(u'inner', u'rail-support')",3
"(u';', u'(')",2
"(u'engag', u'two')",1
"(u'slide', u'advanc')",6
"(u'may', u'wash')",1
"(u'ledg', u'contact')",1
"(u'spacer', u'extend')",1
"(u'outer', u'rail-support')",1
"(u'end', u'connect')",1
"(u'said', u'rail')",1
"(u'side', u'outer')",1
"(u'floor', u'side')",1
"(u'support', u'said')",1
"(u'displac', u'use')",6
"(u'18', u'.')",1
"(u'seat', u'seat')",2
"(u'person', u'may')",1
"(u'leg', u'also')",1
"(u'posit', u'adjac')",1
"(u'brake', u'mean')",3
"(u'wherein', u'inner')",2
"(u'span', u'width')",1
"(u'mean', u'compris')",9
"(u'seat', u'support')",2
"(u'contact', u'extens')",1
"(u'mount', u'advanc')",1
"(u'insid', u'surfac')",6
"(u'seat', u'remot')",1
"(u'.', u'15')",1
"(u'side', u'seat')",1
"(u'surfac', u'bathtub')",6
"(u'carri', u'seat')",1
"(u'rest', u'ledg')",1
"(u'wherebi', u'seat')",1
"(u'leg', u'.')",1
"(u'downwardli', u'said')",1
"(u'3', u'.')",1
"(u'.', u'4')",1
"(u'8', u'compris')",2
"(u'7', u'.')",1
"(u'side', u'inner')",1
"(u'inner', u'wall')",12
"(u'bathtub', u',')",2
"(u'leg', u'bar')",1
"(u'whereat', u'person')",1
"(u'inner', u'outer')",2
"(u'width', u'said')",1
"(u'hand', u'advanc')",1
"(u'may', u'advanc')",1
"(u'claim', u'4')",1
"(u'.', u'2')",1
"(u',', u'rail')",1
"(u'two', u'support')",1
"(u'wherein', u'seat')",1
"(u'bar', u'proxim')",1
"(u'16', u'.')",1
"(u'end', u'bar')",1
"(u'A', u'bathtub')",1
"(u'also', u'shift')",1
"(u'6', u'wherein')",1
"(u'held', u'floor')",1
"(u'compris', u':')",1
"(u'inner', u'sidewal')",1
"(u'15', u'wherein')",1
"(u'outer', u'end')",2
"(u'inner', u'end')",2
"(u'downwardli', u'rest')",1
"(u'bar', u'permit')",1
"(u'bar', u'substanti')",1
"(u'1', u'.')",1
"(u'8', u'.')",1
"(u'.', u'20')",1
"(u'said', u'floor')",1
"(u'5', u'.')",1
"(u'rail', u'may')",1
"(u'end', u'.')",1
"(u'19', u'.')",1
"(u'.', u'16')",1
"(u'seat', u'support', u'bar')",1
"(u'support', u'rail', u'bathtub')",1
"(u'wherebi', u'seat', u'support')",1
"(u'leg', u'extend', u'downwardli')",1
"(u';', u'(', u'2')",1
"(u'19', u'.', u'An')",1
"(u'support', u'bar', u'seat-support')",1
"(u'carri', u'seat', u',')",1
"(u'brake', u'mean', u'wherebi')",1
"(u'support', u'said', u'ledg')",1
"(u'rail', u'may', u'support')",1
"(u'.', u'6', u'.')",1
"(u'assembl', u'claim', u'17')",1
"(u'.', u'A', u'bathtub')",1
"(u'assembl', u'claim', u'14')",1
"(u'claim', u'9', u'compris')",1
"(u'said', u'posit', u'brace')",6
"(u'support', u'bear', u'fit')",1
"(u'.', u'17', u'.')",1
